Eva Risztov,F,173.00,64.00
Evelina Afoa,F,,
Evelyn Verraszto,F,173.00,57.00
Evgeny Koptelov,M,190.00,72
Evgeny Rylov,M,184.00,73.00
Evita Leter,F,,
Eyglo Gustafsdottir,F,187.00,82.00
Fanny Lecluyse,F,177.00,64.00
Farida Osman,F,173.00,58.00
Federica Pellegrini,F,179.00,65.00
Federico Grabich,M,193.00,92.00
Feilian Mao,M,185,74
Felipe Franca,M,186.00,90.00
Felix Auboeck,M,198.12,85.00
Femke Heemskerk,F,180.00,68.00
Filip Zaborowski,M,187.96,77.27
Fiona Doyle,F,175.00,65.00
Florent Manaudou,M,199.00,101.36
Florian Vogel,M,180.34,70.00
Francis Haas,M,196.00,84.00
Franziska Hentke,F,169,62
Gabor Balog,M,186.00,83.00
Gabriele Detti,M,182.88,79.09
Gabriella Doueihy,F,164.00,49.00
Gal Nevo,M,178,78
Gaurika Singh,F,155.00,45.00
Geoffrey Butler,M,188.00,75.00
Georgia Bohl,F,167.00,54
Georgia Coates,F,170.00,54.00
Georgia Davies,F,175.00,64.00
Gergo Kis,M,182.88,78.18
Giedrius Titenis,M,193.00,95
Glenn Snyders,M,178.00,81.00
Glenn Surgeloose,M,182.00,82.00
Glenn Sutanto,M,183.00,74
Grant Hackett,M,197.00,96.36
Grant Irvine,M,187,80
Gregorio Paltrinieri,M,191.00,72.27
Grigory Tarasevich,M,191.00,75.00
Guangyuan Li,M,187.00,81.00
Guilherme Guido,M,194.00,90.00
Hali Flickinger,F,165,52.00
Hannibal Gaskin,M,173.00,68.00
Haris Bandey,M,167.64,79.09
Helena Gasson,F,172.00,76.00
Henrik Christiansen,M,190.50,75.00
Henrique Martins,M,180.00,73.00
Hilary Caldwell,F,173.00,61.00
Hrafnhildur Luthersdottir,F,178,65
Hsuan-Yen Lee,M,173,63
Hugo Gonzalez De Oliveira,M,192.00,82.00
Iacovos Hadjiconstantinou,M,194.00,80.00
Ilaria Bianchi,F,170,65
Ilya Khomenko,M,181,75
Ippei Watanabe,M,193.00,76.36
Iqbal Bayusuf,M,182.00,64.00
Irakli Revishvili,M,177.80,73.18
Izzy Joachim,F,,
Jacob Pebley,M,194.00,86.00
Jake Packard,M,195.00,88
James Guy,M,187.96,83.18
Jamila Lunkuse,F,153.00,60
Jan Micka,M,182.88,73.18
Jan Switkowski,M,198.00,104
Jan-Philip Glania,M,194.00,90.00
Jannah Sonnenschein,F,168.00,60.00
Jarred Crous,M,187,84
Jason Block,M,182.00,82.00
Javier Acevedo,M,182.00,68.00
Jazz Carlin,F,175.00,57.00
Jeanette Ottesen,F,178,70
Jenna Laukkanen,F,182.00,80
Jennie Johansson,F,188.00,71
Jenny Mensing,F,183.00,70.00
Jeremy Stravius,M,190.00,86
Jessica Ashwood,F,173.00,64.00
Jessica Vall Montero,F,163.00,52.00
Jessie Khing Lacuna,M,170.00,65.00
Jiayu Xu,M,187.00,78.00
Jie Chen,F,177.00,65.00
Jinglin Shi,F,175,68
Jingyao Yu,F,178.00,63.00
Jinq Phee,F,166.00,51.00
Jinyoung Park,F,162,58
