FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,107,100,MEDLEY,FIN,F,Katinka,HOSSZU,175.0,68.0,22.204082,0.025575,1.73913,57.5
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,107,100,MEDLEY,FIN,F,Alia,ATKINSON,173.0,71.0,23.722811,0.022695,1.611344,62.06
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,107,100,MEDLEY,FIN,F,Shiwen,YE,172.0,71.0,23.999459,0.023836,1.692334,59.09
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,107,100,MEDLEY,FIN,F,Runa,IMAI,163.0,50.0,18.818924,0.033898,1.694915,59.0
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,107,100,MEDLEY,FIN,F,Seoyeong,KIM,163.0,51.0,19.195303,0.032943,1.680108,59.52
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,Jacob,HEIDTMANN,195.0,83.0,21.827745,0.019123,1.587239,252.01
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,Mykhailo,ROMANCHUK,190.0,82.0,22.714681,0.019083,1.564823,255.62
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,David,FOLDHAZI,189.0,84.0,23.515579,0.018621,1.56415,255.73
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,David,VERRASZTO,180.0,76.0,23.45679,0.021543,1.637264,244.31
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,Gergely,GYURTA,175.0,70.0,22.857143,0.02279,1.595278,250.74
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,108,400,MEDLEY,FHT,M,Daiya,SETO,174.0,73.0,24.111507,0.023004,1.679261,238.2
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,109,200,FLY,FIN,F,Alexandra,WENK,180.0,63.0,19.444444,0.024248,1.52765,130.92
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,109,200,FLY,FIN,F,Yufei,ZHANG,176.0,62.0,20.015496,0.025802,1.599744,125.02
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,109,200,FLY,FIN,F,Franziska,HENTKE,172.0,62.0,20.957274,0.025541,1.583531,126.3
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,109,200,FLY,FIN,F,Boglarka,KAPAS,168.0,54.0,19.132653,0.028311,1.528818,130.82
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Cate,CAMPBELL,186.0,74.0,21.389756,0.028247,2.090301,23.92
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Lisa,GRAF,183.0,69.0,20.60378,0.027946,1.928268,25.93
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Brittany,ELMSLIE,180.0,69.0,21.296296,0.029114,2.008839,24.89
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Xiang,LIU,180.0,63.0,19.444444,0.032381,2.039984,24.51
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Alexandra,WENK,180.0,63.0,19.444444,0.03028,1.907669,26.21
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Ranomi,KROMOWIDJOJO,180.0,72.0,22.222222,0.029068,2.092926,23.89
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Bronte,CAMPBELL,179.0,58.0,18.101807,0.035273,2.045827,24.44
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Lia,NEAL,178.0,74.0,23.355637,0.027311,2.021019,24.74
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Yesui,BAYAR,176.0,61.0,19.692665,0.029538,1.801802,27.75
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Ying,LU,175.0,65.0,21.22449,0.029518,1.918649,26.06
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Pernille,BLUME,170.0,58.0,20.069204,0.035447,2.055921,24.32
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,11,50,FREE,PRE,F,Hang Yu,SZE,168.0,63.0,22.321429,0.031557,1.988072,25.15
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Tom,SHIELDS,194.0,86.0,22.850462,0.022077,1.898614,52.67
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Chad,LE CLOS,190.0,83.0,22.99169,0.024498,2.033347,49.18
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Shinri,SHIOURA,188.0,90.0,25.464011,0.021492,1.934236,51.7
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Jiayu,XU,187.0,78.0,22.305471,0.024885,1.940994,51.52
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Yauhen,TSURKIN,182.0,77.0,23.245985,0.025375,1.953888,51.18
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,110,100,FLY,FIN,M,Pavel,SANKOVICH,182.0,77.0,23.245985,0.024522,1.888218,52.96
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,111,50,FREE,FIN,F,Cate,CAMPBELL,186.0,74.0,21.389756,0.028546,2.112379,23.67
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,111,50,FREE,FIN,F,Sarah,SJOSTROM,182.0,76.0,22.944089,0.028115,2.136752,23.4
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,111,50,FREE,FIN,F,Xiang,LIU,180.0,63.0,19.444444,0.032593,2.053388,24.35
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,111,50,FREE,FIN,F,Ranomi,KROMOWIDJOJO,180.0,72.0,22.222222,0.029589,2.130379,23.47
FINA/airweave Swimming World Cup 2017,Beijing,CHN,SCM,111,50,FREE,FIN,F,Bronte,CAMPBELL,179.0,58.0,18.101807,0.035505,2.059308,24.28
